src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,165.0,958.0,12.567,11.819,0.0
1,0,82.0,955.0,12.567,9.424,0.0
0,2,165.0,973.0,61.865,11.824,0.0
2,0,83.0,973.0,61.865,9.16,1.0
0,3,164.0,965.0,13.319,12.055,0.0
3,0,83.0,968.0,13.319,9.391,0.0
0,4,164.0,958.0,33.328,12.276,0.0
4,0,83.0,974.0,33.328,9.349,0.0
0,5,165.0,974.0,40.563,11.69,0.0
5,0,84.0,980.0,40.563,9.189,1.0
0,6,168.0,969.0,39.531,11.699,0.0
6,0,84.0,977.0,39.531,9.325,0.0
0,7,169.0,968.0,50.662,11.148,0.0
7,0,82.0,963.0,50.662,9.3,1.0
0,8,165.0,975.0,39.667,11.735,1.0
8,0,84.0,980.0,39.667,9.323,0.0
1,2,160.0,959.0,7.055,12.874,0.0
2,1,83.0,968.0,7.055,9.192,0.0
1,3,166.0,962.0,23.602,11.542,0.0
3,1,83.0,968.0,23.602,9.43,0.0
1,4,163.0,959.0,21.371,12.247,0.0
4,1,84.0,976.0,21.371,9.236,0.0
1,5,165.0,957.0,53.925,11.841,0.0
5,1,84.0,981.0,53.925,9.128,1.0
1,6,166.0,957.0,4.476,11.581,0.0
6,1,84.0,979.0,4.476,9.394,0.0
1,7,163.0,960.0,38.465,12.142,0.0
7,1,83.0,976.0,38.465,9.259,0.0
1,8,160.0,958.0,28.214,13.105,1.0
8,1,84.0,987.0,28.214,9.107,1.0
2,3,164.0,966.0,14.523,12.05,0.0
3,2,83.0,970.0,14.523,9.366,0.0
2,4,161.0,964.0,5.352,12.52,1.0
4,2,84.0,981.0,5.352,9.173,2.0
2,5,170.0,960.0,65.697,11.389,0.0
5,2,84.0,976.0,65.697,9.145,0.0
2,6,169.0,962.0,28.925,11.177,1.0
6,2,84.0,985.0,28.925,9.114,1.0
2,7,164.0,963.0,34.488,11.972,0.0
7,2,83.0,972.0,34.488,9.29,0.0
2,8,165.0,963.0,17.17,11.798,3.0
8,2,84.0,985.0,17.17,9.112,2.0
3,4,169.0,953.0,52.252,11.432,0.0
4,3,83.0,972.0,52.252,9.216,1.0
3,5,169.0,956.0,32.607,11.416,0.0
5,3,84.0,980.0,32.607,9.116,0.0
3,6,166.0,954.0,41.914,11.897,0.0
6,3,84.0,985.0,41.914,9.118,1.0
3,7,168.0,897.0,4.238,49.885,1.0
7,3,83.0,974.0,4.238,9.286,2.0
3,8,162.0,955.0,27.804,12.587,0.0
8,3,83.0,975.0,27.804,9.473,0.0
4,5,159.0,967.0,15.858,13.119,0.0
5,4,83.0,974.0,15.858,9.21,1.0
4,6,160.0,964.0,28.318,12.806,0.0
6,4,82.0,964.0,28.318,9.192,0.0
4,7,167.0,960.0,29.114,11.289,0.0
7,4,82.0,958.0,29.114,9.259,0.0
4,8,168.0,905.0,4.275,49.478,1.0
8,4,84.0,977.0,4.275,9.121,2.0
5,6,161.0,970.0,4.26,12.525,0.0
6,5,84.0,985.0,4.26,9.115,1.0
5,7,170.0,961.0,52.176,11.454,0.0
7,5,83.0,973.0,52.176,9.373,0.0
5,8,169.0,970.0,38.428,11.16,1.0
8,5,85.0,989.0,38.428,9.116,0.0
6,7,168.0,973.0,48.373,11.129,1.0
7,6,83.0,969.0,48.373,9.187,0.0
6,8,167.0,974.0,17.216,11.221,1.0
8,6,84.0,976.0,17.216,9.151,0.0
7,8,166.0,954.0,30.856,11.695,0.0
8,7,84.0,980.0,30.856,9.152,0.0
