src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,257.0,2.99,3.308,0.397,0.0
1,0,256.0,3.0,3.308,0.196,0.0
0,2,257.0,2.98,4.534,0.642,0.0
2,0,256.0,3.0,4.534,0.213,0.0
0,3,257.0,3.0,4.599,1.204,0.0
3,0,256.0,3.0,4.599,1.257,0.0
0,4,257.0,3.0,4.914,0.663,0.0
4,0,256.0,3.01,4.914,0.536,0.0
0,5,257.0,3.0,6.009,0.746,0.0
5,0,256.0,3.0,6.009,0.752,0.0
1,2,257.0,3.0,2.924,0.202,0.0
2,1,256.0,3.0,2.924,0.204,0.0
1,3,257.0,2.99,4.824,0.554,0.0
3,1,256.0,3.0,4.824,0.36,0.0
1,4,257.0,2.98,2.748,1.764,0.0
4,1,256.0,3.0,2.748,1.186,0.0
1,5,257.0,3.01,4.948,0.304,0.0
5,1,256.0,3.0,4.948,0.447,0.0
2,3,257.0,4.05,6.133,0.807,2.0
3,2,257.0,3.29,6.133,1.143,15.0
2,4,257.0,3.05,4.983,0.521,0.0
4,2,257.0,3.07,4.983,0.642,1.0
2,5,257.0,3.15,3.238,1.097,7.0
5,2,257.0,3.1,3.238,0.604,5.0
3,4,257.0,3.05,3.439,0.458,1.0
4,3,256.0,3.04,3.439,0.176,2.0
3,5,257.0,3.13,4.61,1.236,1.0
5,3,257.0,3.07,4.61,1.596,1.0
4,5,257.0,3.05,3.566,0.471,1.0
5,4,257.0,3.06,3.566,0.634,2.0
