src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,853.0,4.76,12.394,1.302,191.0
1,0,352.0,4.12,12.394,2.365,0.0
0,2,854.0,4.81,4.938,4.742,95.0
2,0,271.0,3.18,4.938,3.136,7.0
0,3,852.0,8.27,2.851,0.223,0.0
3,0,682.0,8.01,2.851,0.45,0.0
0,4,853.0,4.8,4.571,2.641,154.0
4,0,284.0,3.31,4.571,4.997,0.0
0,5,852.0,4.02,9.606,0.13,1.0
5,0,179.0,2.1,9.606,4.241,3.0
1,2,852.0,8.79,2.822,0.076,1.0
2,1,770.0,9.04,2.822,0.057,12.0
1,3,854.0,4.87,4.293,3.166,36.0
3,1,294.0,3.45,4.293,2.525,0.0
1,4,852.0,5.46,2.819,1.079,139.0
4,1,416.0,4.85,2.819,2.147,0.0
1,5,852.0,5.09,4.699,0.119,3.0
5,1,394.0,4.63,4.699,0.6,10.0
2,3,852.0,4.17,6.0,0.326,14.0
3,2,246.0,2.89,6.0,3.428,0.0
2,4,853.0,4.92,4.716,3.179,56.0
4,2,320.0,3.71,4.716,2.45,4.0
2,5,851.0,7.4,2.877,0.277,0.0
5,2,598.0,7.01,2.877,1.364,0.0
3,4,852.0,4.17,3.081,2.329,254.0
4,3,282.0,3.27,3.081,5.059,0.0
3,5,853.0,4.79,5.103,4.239,125.0
5,3,286.0,3.36,5.103,2.136,0.0
4,5,852.0,8.22,3.385,0.047,0.0
5,4,646.0,7.59,3.385,0.381,0.0
