src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,87.0,944.0,4.127,1.346,0.0
1,0,81.0,946.0,4.127,0.422,0.0
0,2,87.0,939.0,2.918,2.942,0.0
2,0,81.0,952.0,2.918,0.694,0.0
0,3,87.0,971.0,4.141,0.468,4.0
3,0,83.0,972.0,4.141,1.069,8.0
0,4,87.0,972.0,2.793,0.663,1.0
4,0,84.0,976.0,2.793,0.381,2.0
1,2,87.0,946.0,2.907,1.514,0.0
2,1,82.0,959.0,2.907,0.581,0.0
1,3,87.0,938.0,4.077,1.937,0.0
3,1,82.0,959.0,4.077,0.484,0.0
1,4,87.0,945.0,4.328,1.719,0.0
4,1,82.0,963.0,4.328,0.54,0.0
2,3,87.0,939.0,2.747,2.226,0.0
3,2,82.0,964.0,2.747,0.727,0.0
2,4,87.0,937.0,2.699,1.976,0.0
4,2,82.0,959.0,2.699,1.016,0.0
3,4,87.0,970.0,4.286,0.526,6.0
4,3,84.0,976.0,4.286,1.164,9.0
