src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,141.0,916.0,6.612,41.924,0.0
1,0,82.0,953.0,6.612,8.866,0.0
0,2,142.0,961.0,15.427,38.452,2.0
2,0,84.0,986.0,15.427,8.167,2.0
0,3,142.0,964.0,8.542,37.223,3.0
3,0,83.0,975.0,8.542,8.405,4.0
0,4,142.0,920.0,4.199,42.591,0.0
4,0,83.0,972.0,4.199,8.171,0.0
0,5,142.0,944.0,10.58,39.769,1.0
5,0,84.0,983.0,10.58,8.159,1.0
0,6,141.0,929.0,4.879,40.47,0.0
6,0,84.0,980.0,4.879,8.239,0.0
0,7,141.0,932.0,5.457,41.064,0.0
7,0,82.0,953.0,5.457,8.777,0.0
1,2,141.0,920.0,5.498,40.658,0.0
2,1,84.0,976.0,5.498,8.376,0.0
1,3,142.0,929.0,16.396,38.903,0.0
3,1,84.0,980.0,16.396,8.237,0.0
1,4,142.0,936.0,15.607,38.94,1.0
4,1,84.0,980.0,15.607,8.181,2.0
1,5,142.0,920.0,7.024,40.234,0.0
5,1,84.0,976.0,7.024,8.183,0.0
1,6,142.0,914.0,10.209,39.306,0.0
6,1,83.0,972.0,10.209,8.286,0.0
1,7,142.0,916.0,3.798,41.234,0.0
7,1,82.0,959.0,3.798,8.383,0.0
2,3,141.0,960.0,3.217,38.843,0.0
3,2,84.0,976.0,3.217,8.149,1.0
2,4,141.0,974.0,8.552,37.678,2.0
4,2,85.0,988.0,8.552,8.149,1.0
2,5,141.0,975.0,5.365,36.975,4.0
5,2,84.0,983.0,5.365,8.194,6.0
2,6,142.0,973.0,4.9,38.026,3.0
6,2,84.0,985.0,4.9,8.14,1.0
2,7,141.0,928.0,3.123,41.037,0.0
7,2,82.0,959.0,3.123,8.533,0.0
3,4,142.0,973.0,9.265,38.361,3.0
4,3,84.0,979.0,9.265,8.187,2.0
3,5,141.0,971.0,8.049,37.076,2.0
5,3,84.0,979.0,8.049,8.163,4.0
3,6,142.0,972.0,6.158,37.031,3.0
6,3,84.0,981.0,6.158,8.295,2.0
3,7,142.0,929.0,4.628,41.736,0.0
7,3,82.0,953.0,4.628,8.433,0.0
4,5,142.0,960.0,3.132,38.821,1.0
5,4,84.0,985.0,3.132,8.138,1.0
4,6,139.0,971.0,4.818,37.881,0.0
6,4,84.0,981.0,4.818,8.15,1.0
4,7,141.0,922.0,6.171,41.646,0.0
7,4,82.0,959.0,6.171,8.517,0.0
5,6,142.0,950.0,11.569,38.383,1.0
6,5,84.0,985.0,11.569,8.136,0.0
5,7,141.0,917.0,4.313,44.845,0.0
7,5,82.0,963.0,4.313,8.335,0.0
6,7,141.0,947.0,4.345,39.214,1.0
7,6,82.0,957.0,4.345,8.628,1.0
