src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,174.0,893.0,6.052,47.531,0.0
1,0,83.0,968.0,6.052,9.818,0.0
0,2,173.0,908.0,4.991,47.238,2.0
2,0,83.0,975.0,4.991,9.754,1.0
0,3,173.0,907.0,5.918,46.894,0.0
3,0,83.0,975.0,5.918,9.927,0.0
0,4,171.0,909.0,3.093,47.263,1.0
4,0,84.0,985.0,3.093,9.45,1.0
0,5,172.0,914.0,7.928,46.838,3.0
5,0,83.0,971.0,7.928,9.834,2.0
0,6,170.0,909.0,4.693,47.129,2.0
6,0,83.0,976.0,4.693,9.785,1.0
0,7,172.0,908.0,6.782,47.336,0.0
7,0,82.0,963.0,6.782,9.923,0.0
1,2,161.0,904.0,3.364,49.047,0.0
2,1,83.0,974.0,3.364,9.733,0.0
1,3,171.0,903.0,4.724,47.213,0.0
3,1,84.0,979.0,4.724,9.699,0.0
1,4,171.0,899.0,5.407,47.568,3.0
4,1,84.0,981.0,5.407,9.758,4.0
1,5,172.0,903.0,3.136,47.064,0.0
5,1,84.0,976.0,3.136,9.705,0.0
1,6,172.0,900.0,6.338,46.851,2.0
6,1,84.0,983.0,6.338,9.712,3.0
1,7,171.0,899.0,4.225,46.901,1.0
7,1,83.0,969.0,4.225,9.83,1.0
2,3,171.0,907.0,3.154,47.628,0.0
3,2,84.0,981.0,3.154,9.735,0.0
2,4,174.0,908.0,3.02,46.765,1.0
4,2,84.0,985.0,3.02,9.701,4.0
2,5,172.0,909.0,4.913,47.126,3.0
5,2,83.0,972.0,4.913,9.99,3.0
2,6,172.0,908.0,7.138,47.199,0.0
6,2,84.0,983.0,7.138,9.678,0.0
2,7,171.0,912.0,3.083,46.719,0.0
7,2,83.0,970.0,3.083,9.972,0.0
3,4,173.0,912.0,4.644,46.982,1.0
4,3,84.0,986.0,4.644,9.695,1.0
3,5,172.0,913.0,5.964,46.897,0.0
5,3,84.0,976.0,5.964,9.919,0.0
3,6,174.0,911.0,2.998,46.856,0.0
6,3,84.0,979.0,2.998,9.938,2.0
3,7,173.0,911.0,5.782,46.994,3.0
7,3,83.0,968.0,5.782,9.936,3.0
4,5,171.0,912.0,6.522,47.638,0.0
5,4,83.0,970.0,6.522,10.017,0.0
4,6,171.0,916.0,4.428,47.283,1.0
6,4,84.0,985.0,4.428,9.699,1.0
4,7,173.0,908.0,4.485,47.009,0.0
7,4,83.0,968.0,4.485,10.097,0.0
5,6,171.0,907.0,7.094,46.935,4.0
6,5,85.0,993.0,7.094,9.706,4.0
5,7,170.0,904.0,6.066,48.691,0.0
7,5,82.0,961.0,6.066,10.121,0.0
6,7,172.0,911.0,3.177,47.122,0.0
7,6,83.0,972.0,3.177,9.738,0.0
