src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,157.0,895.0,18.327,48.355,0.0
1,0,83.0,970.0,18.327,10.942,0.0
0,2,158.0,905.0,2.781,47.702,0.0
2,0,83.0,970.0,2.781,10.872,0.0
0,3,159.0,906.0,2.707,48.855,0.0
3,0,83.0,974.0,2.707,10.638,0.0
0,4,158.0,900.0,2.516,47.84,0.0
4,0,84.0,981.0,2.516,10.58,0.0
1,2,158.0,909.0,3.901,47.707,0.0
2,1,83.0,968.0,3.901,10.92,0.0
1,3,160.0,912.0,2.933,46.978,0.0
3,1,84.0,976.0,2.933,10.668,0.0
1,4,159.0,912.0,4.076,47.322,3.0
4,1,84.0,985.0,4.076,10.582,4.0
2,3,157.0,895.0,3.883,47.781,0.0
3,2,83.0,970.0,3.883,10.634,0.0
2,4,158.0,900.0,2.749,48.183,0.0
4,2,84.0,985.0,2.749,10.567,0.0
3,4,159.0,900.0,3.902,47.593,0.0
4,3,84.0,981.0,3.902,10.6,0.0
