src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,154.0,882.0,13.231,48.722,0.0
1,0,84.0,979.0,13.231,10.873,0.0
0,2,154.0,902.0,6.099,48.991,3.0
2,0,83.0,972.0,6.099,10.937,1.0
0,3,153.0,942.0,12.273,43.12,3.0
3,0,84.0,986.0,12.273,10.943,1.0
0,4,155.0,902.0,4.866,49.335,1.0
4,0,83.0,968.0,4.866,11.193,1.0
0,5,155.0,908.0,8.572,48.459,0.0
5,0,83.0,975.0,8.572,11.285,0.0
0,6,154.0,906.0,7.464,48.514,0.0
6,0,83.0,970.0,7.464,11.061,0.0
0,7,153.0,904.0,11.673,49.058,0.0
7,0,84.0,981.0,11.673,10.866,0.0
1,2,154.0,910.0,4.792,48.755,2.0
2,1,83.0,968.0,4.792,11.099,2.0
1,3,155.0,955.0,10.708,43.81,3.0
3,1,85.0,992.0,10.708,10.949,3.0
1,4,155.0,908.0,3.216,49.037,0.0
4,1,83.0,972.0,3.216,11.143,0.0
1,5,154.0,912.0,7.833,48.932,1.0
5,1,83.0,974.0,7.833,10.942,2.0
1,6,154.0,907.0,7.245,48.348,0.0
6,1,83.0,972.0,7.245,10.886,0.0
1,7,155.0,938.0,8.7,45.775,2.0
7,1,84.0,983.0,8.7,10.962,2.0
2,3,154.0,901.0,8.512,49.028,0.0
3,2,84.0,985.0,8.512,10.86,0.0
2,4,154.0,903.0,2.811,48.531,0.0
4,2,83.0,970.0,2.811,11.018,0.0
2,5,155.0,901.0,4.943,49.345,1.0
5,2,84.0,979.0,4.943,11.001,1.0
2,6,153.0,898.0,3.1,49.101,0.0
6,2,82.0,964.0,3.1,11.011,0.0
2,7,155.0,905.0,5.909,48.755,0.0
7,2,84.0,983.0,5.909,10.88,0.0
3,4,153.0,907.0,11.256,49.286,0.0
4,3,83.0,972.0,11.256,10.939,0.0
3,5,154.0,911.0,21.776,49.132,2.0
5,3,83.0,975.0,21.776,11.096,2.0
3,6,154.0,911.0,6.244,48.731,3.0
6,3,83.0,974.0,6.244,10.99,2.0
3,7,155.0,910.0,2.994,48.68,0.0
7,3,84.0,981.0,2.994,11.083,2.0
4,5,153.0,898.0,5.572,49.106,0.0
5,4,84.0,976.0,5.572,11.096,0.0
4,6,154.0,900.0,4.772,48.784,0.0
6,4,83.0,972.0,4.772,10.879,0.0
4,7,155.0,930.0,7.119,44.696,5.0
7,4,85.0,996.0,7.119,11.131,3.0
5,6,153.0,907.0,2.975,49.196,0.0
6,5,83.0,970.0,2.975,11.251,0.0
5,7,154.0,903.0,3.082,48.878,1.0
7,5,84.0,983.0,3.082,10.885,1.0
6,7,153.0,897.0,4.692,48.861,1.0
7,6,84.0,983.0,4.692,10.863,1.0
