src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,852.0,7.33,2.97,0.091,0.0
1,0,599.0,7.02,2.97,1.129,1.0
0,2,852.0,3.27,7.12,0.511,63.0
2,0,80.0,935.0,7.12,14.861,0.0
0,3,851.0,5.73,10.558,0.113,0.0
3,0,370.0,4.34,10.558,1.664,0.0
0,4,852.0,4.08,9.165,0.108,34.0
4,0,242.0,2.81,9.165,6.283,0.0
0,5,852.0,3.47,11.22,0.709,6.0
5,0,110.0,1.29,11.22,8.189,0.0
1,2,852.0,4.24,6.088,0.061,0.0
2,1,205.0,2.41,6.088,2.667,0.0
1,3,852.0,8.22,3.076,0.081,4.0
3,1,669.0,7.85,3.076,0.615,0.0
1,4,852.0,5.12,4.257,0.077,0.0
4,1,372.0,4.37,4.257,3.631,0.0
1,5,852.0,4.28,8.951,0.964,1.0
5,1,191.0,2.24,8.951,5.734,0.0
2,3,852.0,5.22,4.412,0.119,54.0
3,2,317.0,3.72,4.412,2.102,0.0
2,4,852.0,7.41,2.723,0.064,0.0
4,2,578.0,6.79,2.723,0.805,0.0
2,5,852.0,5.65,4.439,0.126,0.0
5,2,337.0,3.94,4.439,3.066,0.0
3,4,852.0,8.63,2.672,0.091,0.0
4,3,726.0,8.53,2.672,0.513,0.0
3,5,851.0,4.88,8.488,0.223,18.0
5,3,302.0,3.55,8.488,1.689,0.0
4,5,852.0,8.44,3.773,0.096,0.0
5,4,722.0,8.49,3.773,0.323,0.0
