src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,512.0,5.99,3.112,0.917,0.0
1,0,510.0,5.99,3.112,0.695,0.0
0,2,511.0,5.75,4.114,0.846,0.0
2,0,492.0,5.78,4.114,0.808,0.0
0,3,512.0,5.89,2.826,1.31,0.0
3,0,509.0,5.95,2.826,0.734,0.0
0,4,512.0,5.59,4.306,0.833,0.0
4,0,468.0,5.49,4.306,0.705,0.0
0,5,512.0,4.38,12.087,0.756,8.0
5,0,350.0,4.02,12.087,1.909,8.0
1,2,512.0,6.12,3.093,0.273,2.0
2,1,512.0,6.15,3.093,0.15,2.0
1,3,512.0,5.97,4.146,0.474,0.0
3,1,511.0,5.98,4.146,0.833,0.0
1,4,512.0,6.12,3.15,0.546,1.0
4,1,512.0,6.09,3.15,0.352,1.0
1,5,512.0,5.9,4.418,0.76,4.0
5,1,485.0,5.7,4.418,0.811,3.0
2,3,512.0,4.41,5.828,0.847,0.0
3,2,307.0,3.55,5.828,1.235,5.0
2,4,512.0,5.91,4.289,0.83,0.0
4,2,505.0,5.93,4.289,0.624,0.0
2,5,512.0,6.09,3.172,0.233,1.0
5,2,512.0,6.17,3.172,0.706,1.0
3,4,512.0,5.98,3.178,0.578,0.0
4,3,511.0,6.0,3.178,0.329,0.0
3,5,512.0,5.73,4.502,0.984,0.0
5,3,494.0,5.8,4.502,0.556,0.0
4,5,512.0,6.01,3.367,0.492,0.0
5,4,511.0,5.99,3.367,0.42,0.0
