src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,682.0,7.8,3.269,1.512,0.0
1,0,669.0,7.84,3.269,1.533,0.0
0,2,682.0,2.65,7.428,0.436,189.0
2,0,127.0,1.46,7.428,6.084,0.0
0,3,682.0,5.94,4.604,0.351,0.0
3,0,426.0,5.0,4.604,1.059,0.0
0,4,682.0,4.38,7.226,0.266,4.0
4,0,201.0,2.36,7.226,5.338,0.0
0,5,683.0,2.86,8.669,0.904,178.0
5,0,171.0,1.96,8.669,3.372,4.0
1,2,682.0,4.38,6.249,0.255,0.0
2,1,211.0,2.48,6.249,3.066,0.0
1,3,682.0,8.01,2.932,0.183,0.0
3,1,681.0,7.99,2.932,0.262,0.0
1,4,682.0,5.7,4.406,0.271,0.0
4,1,439.0,5.16,4.406,0.902,0.0
1,5,683.0,3.67,5.731,2.219,181.0
5,1,259.0,3.03,5.731,2.964,0.0
2,3,682.0,5.71,4.249,0.261,4.0
3,2,417.0,4.9,4.249,0.338,3.0
2,4,682.0,8.79,3.075,0.354,2.0
4,2,682.0,8.15,3.075,0.447,17.0
2,5,682.0,5.35,4.427,0.261,16.0
5,2,446.0,5.24,4.427,0.628,4.0
3,4,682.0,8.13,3.778,0.351,0.0
4,3,681.0,7.98,3.778,0.549,0.0
3,5,682.0,5.84,4.639,0.265,0.0
5,3,428.0,5.01,4.639,1.03,0.0
4,5,682.0,8.47,7.878,0.669,5.0
5,4,681.0,8.03,7.878,0.805,6.0
