src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,145.0,642.0,87.715,59.544,0.0
1,0,62.0,723.0,87.715,15.046,0.0
0,2,144.0,638.0,79.709,59.826,0.0
2,0,64.0,748.0,79.709,14.112,0.0
0,3,142.0,637.0,53.153,59.36,0.0
3,0,62.0,718.0,53.153,15.159,0.0
0,4,144.0,641.0,70.369,59.873,0.0
4,0,62.0,722.0,70.369,15.313,0.0
0,5,145.0,635.0,99.58,61.507,0.0
5,0,63.0,739.0,99.58,14.708,0.0
0,6,144.0,634.0,84.936,60.389,0.0
6,0,63.0,735.0,84.936,14.496,0.0
1,2,146.0,627.0,98.048,60.313,0.0
2,1,64.0,751.0,98.048,14.834,0.0
1,3,144.0,630.0,94.897,60.261,0.0
3,1,63.0,739.0,94.897,14.742,0.0
1,4,144.0,628.0,88.396,61.887,0.0
4,1,62.0,720.0,88.396,14.55,0.0
1,5,144.0,621.0,100.93,60.682,0.0
5,1,63.0,735.0,100.93,14.778,0.0
1,6,144.0,636.0,111.258,59.651,0.0
6,1,63.0,735.0,111.258,14.626,0.0
2,3,144.0,648.0,93.992,59.788,0.0
3,2,62.0,724.0,93.992,14.657,0.0
2,4,143.0,646.0,115.535,60.285,0.0
4,2,61.0,713.0,115.535,14.736,0.0
2,5,144.0,648.0,69.511,60.078,0.0
5,2,63.0,733.0,69.511,14.78,0.0
2,6,144.0,650.0,86.447,60.863,0.0
6,2,62.0,722.0,86.447,15.206,0.0
3,4,144.0,637.0,107.736,60.312,0.0
4,3,62.0,718.0,107.736,15.416,0.0
3,5,144.0,645.0,77.332,59.228,0.0
5,3,64.0,750.0,77.332,14.223,0.0
3,6,144.0,640.0,93.898,61.046,0.0
6,3,62.0,727.0,93.898,15.057,0.0
4,5,144.0,632.0,81.798,60.435,0.0
5,4,63.0,737.0,81.798,14.389,0.0
4,6,143.0,636.0,79.598,61.197,0.0
6,4,63.0,735.0,79.598,14.617,0.0
5,6,144.0,645.0,102.176,59.466,0.0
6,5,62.0,726.0,102.176,14.985,0.0
