src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,142.0,624.0,91.694,60.888,0.0
1,0,61.0,715.0,91.694,15.427,0.0
0,2,142.0,622.0,112.477,61.08,0.0
2,0,64.0,748.0,112.477,13.981,0.0
0,3,143.0,614.0,104.364,63.457,0.0
3,0,61.0,710.0,104.364,15.446,0.0
0,4,142.0,624.0,122.943,61.828,0.0
4,0,61.0,711.0,122.943,15.141,0.0
0,5,143.0,621.0,94.643,62.755,0.0
5,0,63.0,737.0,94.643,14.839,0.0
0,6,141.0,620.0,80.556,61.722,0.0
6,0,62.0,726.0,80.556,14.739,0.0
1,2,141.0,615.0,121.131,61.857,0.0
2,1,63.0,740.0,121.131,14.688,0.0
1,3,143.0,622.0,124.499,61.658,0.0
3,1,62.0,722.0,124.499,14.561,0.0
1,4,142.0,621.0,96.27,62.626,0.0
4,1,60.0,699.0,96.27,14.949,0.0
1,5,142.0,620.0,87.107,62.483,0.0
5,1,63.0,731.0,87.107,14.626,0.0
1,6,142.0,633.0,116.221,60.911,0.0
6,1,63.0,739.0,116.221,14.576,0.0
2,3,142.0,642.0,88.454,61.851,0.0
3,2,61.0,712.0,88.454,14.564,0.0
2,4,142.0,644.0,108.404,61.246,0.0
4,2,61.0,713.0,108.404,14.856,0.0
2,5,143.0,646.0,102.595,58.345,0.0
5,2,64.0,738.0,102.595,14.808,0.0
2,6,142.0,641.0,95.231,60.798,0.0
6,2,63.0,732.0,95.231,14.54,0.0
3,4,143.0,622.0,107.844,63.035,0.0
4,3,60.0,700.0,107.844,14.966,0.0
3,5,142.0,630.0,52.374,62.054,0.0
5,3,64.0,746.0,52.374,14.323,0.0
3,6,143.0,619.0,102.85,62.386,0.0
6,3,62.0,726.0,102.85,14.967,0.0
4,5,143.0,609.0,103.927,62.37,0.0
5,4,63.0,737.0,103.927,14.146,0.0
4,6,140.0,615.0,77.89,62.01,0.0
6,4,62.0,721.0,77.89,14.307,0.0
5,6,141.0,635.0,69.279,61.828,0.0
6,5,62.0,729.0,69.279,14.97,0.0
