src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,154.0,898.0,4.278,49.629,0.0
1,0,83.0,968.0,4.278,11.087,0.0
0,2,154.0,907.0,5.051,49.167,0.0
2,0,83.0,972.0,5.051,11.049,0.0
0,3,153.0,902.0,3.498,48.926,2.0
3,0,84.0,985.0,3.498,10.874,2.0
1,2,154.0,904.0,3.139,48.761,0.0
2,1,84.0,977.0,3.139,10.894,0.0
1,3,155.0,898.0,3.263,49.549,0.0
3,1,84.0,985.0,3.263,10.873,0.0
2,3,155.0,900.0,3.223,49.619,0.0
3,2,84.0,981.0,3.223,10.858,0.0
