src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,427.0,4.76,3.582,0.609,0.0
1,0,412.0,4.84,3.582,0.434,0.0
0,2,427.0,5.19,5.402,0.266,101.0
2,0,427.0,5.07,5.402,0.268,4.0
0,3,427.0,4.74,5.2,0.263,37.0
3,0,427.0,4.79,5.2,0.263,43.0
0,4,427.0,4.17,7.096,0.793,0.0
4,0,353.0,4.14,7.096,1.171,0.0
1,2,427.0,4.97,3.515,0.17,12.0
2,1,422.0,4.96,3.515,0.363,11.0
1,3,427.0,4.82,7.099,0.269,0.0
3,1,410.0,4.81,7.099,0.466,0.0
1,4,427.0,4.6,5.242,1.204,0.0
4,1,393.0,4.61,5.242,2.48,0.0
2,3,427.0,4.87,3.521,1.103,0.0
3,2,411.0,4.83,3.521,1.241,0.0
2,4,427.0,4.83,5.147,0.494,0.0
4,2,410.0,4.82,5.147,0.514,0.0
3,4,427.0,4.85,4.384,0.588,0.0
4,3,413.0,4.85,4.384,0.376,0.0
