src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,155.0,705.0,3.089,49.353,0.0
1,0,65.0,763.0,3.089,9.37,0.0
0,2,155.0,701.0,11.574,50.931,0.0
2,0,66.0,764.0,11.574,9.772,0.0
0,3,156.0,700.0,5.571,50.479,0.0
3,0,66.0,769.0,5.571,9.641,0.0
0,4,155.0,699.0,7.157,52.345,0.0
4,0,67.0,777.0,7.157,9.117,0.0
0,5,154.0,697.0,8.822,52.487,0.0
5,0,64.0,750.0,8.822,9.984,0.0
0,6,155.0,700.0,5.446,51.166,0.0
6,0,65.0,760.0,5.446,9.756,0.0
1,2,156.0,697.0,2.749,51.235,0.0
2,1,66.0,773.0,2.749,9.238,0.0
1,3,155.0,691.0,4.108,52.253,0.0
3,1,66.0,771.0,4.108,9.474,0.0
1,4,156.0,691.0,13.552,51.761,0.0
4,1,66.0,774.0,13.552,9.391,0.0
1,5,154.0,693.0,4.282,51.629,0.0
5,1,65.0,756.0,4.282,9.566,0.0
1,6,156.0,689.0,4.001,51.584,0.0
6,1,65.0,758.0,4.001,10.566,0.0
2,3,155.0,695.0,2.653,50.971,1.0
3,2,66.0,774.0,2.653,9.288,1.0
2,4,155.0,692.0,4.364,52.478,0.0
4,2,66.0,772.0,4.364,9.391,0.0
2,5,155.0,695.0,2.825,51.32,0.0
5,2,65.0,763.0,2.825,9.392,0.0
2,6,155.0,694.0,2.874,50.647,0.0
6,2,65.0,760.0,2.874,9.649,0.0
3,4,156.0,700.0,3.071,51.422,0.0
4,3,67.0,780.0,3.071,9.311,0.0
3,5,153.0,699.0,9.078,50.873,0.0
5,3,65.0,754.0,9.078,9.67,0.0
3,6,156.0,701.0,3.842,51.214,0.0
6,3,66.0,769.0,3.842,9.639,0.0
4,5,155.0,705.0,5.751,50.298,0.0
5,4,65.0,760.0,5.751,9.963,0.0
4,6,153.0,712.0,5.666,49.088,4.0
6,4,66.0,775.0,5.666,9.568,4.0
5,6,154.0,690.0,4.384,51.912,0.0
6,5,66.0,765.0,4.384,9.409,0.0
