src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,144.0,633.0,76.515,60.103,0.0
1,0,62.0,727.0,76.515,14.86,0.0
0,2,143.0,625.0,81.285,62.517,0.0
2,0,62.0,727.0,81.285,14.335,0.0
0,3,144.0,637.0,74.942,59.75,0.0
3,0,65.0,756.0,74.942,14.591,0.0
0,4,143.0,638.0,88.615,58.181,0.0
4,0,61.0,712.0,88.615,14.555,0.0
0,5,143.0,640.0,94.95,59.518,0.0
5,0,61.0,709.0,94.95,14.884,0.0
0,6,143.0,632.0,55.602,60.356,0.0
6,0,64.0,743.0,55.602,14.517,0.0
1,2,145.0,648.0,109.24,59.439,0.0
2,1,62.0,727.0,109.24,15.605,0.0
1,3,144.0,648.0,91.478,60.079,0.0
3,1,65.0,752.0,91.478,14.24,0.0
1,4,145.0,651.0,108.752,58.521,0.0
4,1,61.0,713.0,108.752,14.75,0.0
1,5,144.0,644.0,127.648,60.161,0.0
5,1,60.0,691.0,127.648,15.806,0.0
1,6,144.0,646.0,86.473,58.112,0.0
6,1,63.0,736.0,86.473,14.925,0.0
2,3,144.0,631.0,56.269,61.201,0.0
3,2,64.0,742.0,56.269,14.429,0.0
2,4,145.0,634.0,108.965,61.65,0.0
4,2,61.0,713.0,108.965,14.646,0.0
2,5,143.0,634.0,117.981,60.394,0.0
5,2,61.0,705.0,117.981,15.43,0.0
2,6,145.0,630.0,98.138,61.609,0.0
6,2,64.0,747.0,98.138,14.166,0.0
3,4,145.0,655.0,78.271,60.183,0.0
4,3,61.0,709.0,78.271,14.645,0.0
3,5,144.0,662.0,123.584,57.837,0.0
5,3,62.0,718.0,123.584,14.764,0.0
3,6,143.0,654.0,66.379,59.46,0.0
6,3,63.0,737.0,66.379,14.603,0.0
4,5,145.0,630.0,100.164,60.81,0.0
5,4,62.0,719.0,100.164,14.743,0.0
4,6,139.0,626.0,43.904,61.302,0.0
6,4,62.0,725.0,43.904,15.107,0.0
5,6,145.0,624.0,103.221,57.635,0.0
6,5,65.0,753.0,103.221,14.356,0.0
