src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,150.0,894.0,2.482,49.558,0.0
1,0,83.0,972.0,2.482,10.804,0.0
0,2,155.0,905.0,4.123,49.146,0.0
2,0,83.0,970.0,4.123,10.881,0.0
0,3,157.0,907.0,6.066,47.52,0.0
3,0,82.0,961.0,6.066,10.926,0.0
0,4,156.0,952.0,7.358,42.127,5.0
4,0,84.0,985.0,7.358,10.786,12.0
1,2,156.0,906.0,2.586,49.64,0.0
2,1,83.0,972.0,2.586,10.828,0.0
1,3,155.0,908.0,4.023,48.216,0.0
3,1,83.0,972.0,4.023,10.997,0.0
1,4,157.0,910.0,5.484,48.164,0.0
4,1,84.0,985.0,5.484,10.738,0.0
2,3,155.0,898.0,2.552,48.195,0.0
3,2,82.0,961.0,2.552,11.384,0.0
2,4,155.0,896.0,4.314,49.389,0.0
4,2,84.0,978.0,4.314,10.695,0.0
3,4,154.0,897.0,2.794,48.421,0.0
4,3,84.0,985.0,2.794,10.74,0.0
