src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,427.0,4.75,2.765,0.258,0.0
1,0,409.0,4.81,2.765,0.169,0.0
0,2,427.0,4.64,4.159,1.804,1.0
2,0,427.0,4.92,4.159,0.604,47.0
0,3,427.0,4.06,5.811,0.178,3.0
3,0,335.0,3.89,5.811,1.423,4.0
0,4,427.0,4.63,5.357,1.769,56.0
4,0,427.0,5.24,5.357,0.681,70.0
1,2,427.0,4.84,3.042,0.26,0.0
2,1,413.0,4.85,3.042,0.109,0.0
1,3,427.0,4.85,4.471,0.372,0.0
3,1,413.0,4.85,4.471,0.301,0.0
1,4,427.0,4.79,4.226,0.225,0.0
4,1,408.0,4.79,4.226,0.122,0.0
2,3,427.0,4.86,2.651,0.251,0.0
3,2,413.0,4.85,2.651,0.108,0.0
2,4,427.0,4.97,2.741,0.172,10.0
4,2,427.0,5.02,2.741,0.175,14.0
3,4,427.0,4.86,2.793,0.469,0.0
4,3,414.0,4.86,2.793,0.268,0.0
