src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,140.0,925.0,29.479,41.257,0.0
1,0,80.0,938.0,29.479,8.855,0.0
0,2,141.0,922.0,4.273,41.178,0.0
2,0,84.0,976.0,4.273,8.163,0.0
0,3,141.0,932.0,6.077,41.901,0.0
3,0,84.0,977.0,6.077,8.14,0.0
0,4,141.0,940.0,3.226,38.433,1.0
4,0,83.0,970.0,3.226,8.321,2.0
0,5,142.0,960.0,7.376,38.186,4.0
5,0,84.0,980.0,7.376,8.266,7.0
0,6,141.0,919.0,13.286,42.786,0.0
6,0,84.0,978.0,13.286,8.149,0.0
0,7,141.0,930.0,6.01,41.722,0.0
7,0,84.0,976.0,6.01,8.199,0.0
1,2,141.0,915.0,2.89,40.84,0.0
2,1,83.0,967.0,2.89,8.38,0.0
1,3,142.0,920.0,4.572,41.373,0.0
3,1,83.0,972.0,4.572,8.169,0.0
1,4,142.0,922.0,4.683,41.579,0.0
4,1,83.0,971.0,4.683,8.22,0.0
1,5,141.0,920.0,3.063,41.685,0.0
5,1,84.0,980.0,3.063,8.133,0.0
1,6,142.0,935.0,14.05,38.513,0.0
6,1,84.0,981.0,14.05,8.218,0.0
1,7,141.0,925.0,4.399,42.246,0.0
7,1,84.0,976.0,4.399,8.31,0.0
2,3,141.0,928.0,6.609,41.467,0.0
3,2,83.0,975.0,6.609,8.221,0.0
2,4,142.0,941.0,17.493,39.991,1.0
4,2,84.0,976.0,17.493,8.214,1.0
2,5,142.0,956.0,8.623,37.998,1.0
5,2,84.0,981.0,8.623,8.218,1.0
2,6,141.0,952.0,4.857,37.745,1.0
6,2,83.0,974.0,4.857,8.205,1.0
2,7,141.0,921.0,2.966,41.856,0.0
7,2,83.0,969.0,2.966,8.404,0.0
3,4,142.0,972.0,4.952,37.708,3.0
4,3,84.0,976.0,4.952,8.374,5.0
3,5,142.0,971.0,5.836,38.353,3.0
5,3,84.0,983.0,5.836,8.257,1.0
3,6,141.0,956.0,12.143,37.306,1.0
6,3,84.0,980.0,12.143,8.141,2.0
3,7,142.0,969.0,10.589,38.187,0.0
7,3,84.0,976.0,10.589,8.239,2.0
4,5,141.0,934.0,7.464,40.125,0.0
5,4,83.0,963.0,7.464,8.904,0.0
4,6,142.0,931.0,4.838,39.788,0.0
6,4,84.0,976.0,4.838,8.186,0.0
4,7,141.0,924.0,5.028,40.848,0.0
7,4,83.0,972.0,5.028,8.234,0.0
5,6,141.0,976.0,8.322,36.856,2.0
6,5,83.0,974.0,8.322,8.481,9.0
5,7,141.0,973.0,6.4,37.237,2.0
7,5,83.0,970.0,6.4,8.252,6.0
6,7,141.0,956.0,3.246,39.164,2.0
7,6,84.0,978.0,3.246,8.17,2.0
