src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,174.0,903.0,5.084,47.69,0.0
1,0,83.0,968.0,5.084,9.983,0.0
0,2,171.0,900.0,4.491,48.806,0.0
2,0,83.0,968.0,4.491,10.103,0.0
0,3,173.0,903.0,5.254,48.761,3.0
3,0,84.0,976.0,5.254,9.706,3.0
0,4,170.0,904.0,3.412,48.438,3.0
4,0,84.0,980.0,3.412,9.795,2.0
1,2,171.0,894.0,3.452,48.761,0.0
2,1,83.0,971.0,3.452,9.744,0.0
1,3,170.0,892.0,3.492,49.476,0.0
3,1,84.0,976.0,3.492,9.751,0.0
1,4,172.0,890.0,4.448,48.886,0.0
4,1,84.0,980.0,4.448,9.724,0.0
2,3,161.0,893.0,3.476,50.821,0.0
3,2,84.0,978.0,3.476,9.744,0.0
2,4,172.0,889.0,7.812,49.375,0.0
4,2,84.0,980.0,7.812,9.734,0.0
3,4,172.0,897.0,5.078,48.854,5.0
4,3,84.0,985.0,5.078,9.71,4.0
