src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,852.0,3.28,8.136,0.496,245.0
1,0,110.0,1.15,8.136,7.927,11.0
0,2,852.0,5.55,4.289,0.432,92.0
2,0,418.0,3.96,4.289,2.449,81.0
0,3,852.0,2.43,7.885,0.447,284.0
3,0,143.0,1.6,7.885,8.462,5.0
0,4,852.0,8.55,4.026,0.078,0.0
4,0,747.0,8.78,4.026,0.381,0.0
0,5,853.0,4.2,5.963,1.679,50.0
5,0,204.0,2.39,5.963,2.984,0.0
1,2,853.0,4.88,4.141,1.927,110.0
2,1,313.0,3.68,4.141,3.131,8.0
1,3,852.0,8.17,2.94,0.271,5.0
3,1,657.0,7.69,2.94,1.926,3.0
1,4,852.0,4.47,11.308,0.066,0.0
4,1,137.0,1.6,11.308,7.3,0.0
1,5,852.0,7.55,2.849,0.07,6.0
5,1,676.0,7.85,2.849,1.298,8.0
2,3,852.0,4.23,5.777,0.065,5.0
3,2,132.0,1.55,5.777,5.032,17.0
2,4,852.0,8.41,2.814,0.061,0.0
4,2,698.0,8.2,2.814,0.517,0.0
2,5,852.0,7.72,2.892,0.058,0.0
5,2,623.0,7.32,2.892,0.07,0.0
3,4,852.0,3.6,7.648,0.622,48.0
4,3,108.0,1.27,7.648,6.599,0.0
3,5,851.0,5.15,4.783,0.061,79.0
5,3,326.0,3.82,4.783,3.139,0.0
4,5,852.0,5.82,4.218,0.189,0.0
5,4,394.0,4.62,4.218,1.464,0.0
