src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,87.0,943.0,4.486,1.816,0.0
1,0,82.0,961.0,4.486,1.24,0.0
0,2,87.0,942.0,4.646,1.833,0.0
2,0,82.0,963.0,4.646,0.421,0.0
0,3,87.0,956.0,10.664,0.709,0.0
3,0,81.0,948.0,10.664,0.56,0.0
0,4,87.0,963.0,16.992,0.536,3.0
4,0,84.0,977.0,16.992,0.66,6.0
0,5,87.0,961.0,4.058,1.085,0.0
5,0,82.0,961.0,4.058,0.588,0.0
0,6,87.0,962.0,5.244,0.601,3.0
6,0,83.0,970.0,5.244,0.887,9.0
0,7,87.0,963.0,5.378,0.704,2.0
7,0,83.0,968.0,5.378,0.873,3.0
0,8,86.0,958.0,8.797,2.03,0.0
8,0,80.0,939.0,8.797,2.936,0.0
1,2,87.0,976.0,5.051,0.377,1.0
2,1,83.0,968.0,5.051,0.601,3.0
1,3,87.0,977.0,6.981,0.565,4.0
3,1,82.0,959.0,6.981,1.84,11.0
1,4,87.0,980.0,5.427,0.441,3.0
4,1,84.0,978.0,5.427,0.523,5.0
1,5,87.0,974.0,5.973,0.467,3.0
5,1,83.0,966.0,5.973,0.722,5.0
1,6,87.0,974.0,4.191,1.258,1.0
6,1,83.0,972.0,4.191,1.451,2.0
1,7,87.0,958.0,2.87,1.552,0.0
7,1,83.0,968.0,2.87,0.521,0.0
1,8,87.0,976.0,8.487,0.437,5.0
8,1,82.0,963.0,8.487,0.824,6.0
2,3,87.0,946.0,6.63,2.313,0.0
3,2,82.0,955.0,6.63,1.319,0.0
2,4,87.0,971.0,4.695,0.519,2.0
4,2,84.0,976.0,4.695,0.745,1.0
2,5,87.0,966.0,3.112,0.475,1.0
5,2,83.0,966.0,3.112,0.567,1.0
2,6,87.0,925.0,5.294,2.883,0.0
6,2,80.0,935.0,5.294,2.062,0.0
2,7,87.0,965.0,7.861,0.865,2.0
7,2,83.0,968.0,7.861,0.903,5.0
2,8,87.0,972.0,7.33,0.556,5.0
8,2,82.0,963.0,7.33,0.73,4.0
3,4,87.0,952.0,2.988,0.741,0.0
4,3,82.0,956.0,2.988,0.843,0.0
3,5,87.0,957.0,10.826,0.748,3.0
5,3,83.0,968.0,10.826,0.623,2.0
3,6,87.0,954.0,5.752,0.849,2.0
6,3,83.0,972.0,5.752,0.767,2.0
3,7,87.0,925.0,5.294,2.663,0.0
7,3,80.0,939.0,5.294,1.68,0.0
3,8,87.0,945.0,2.697,1.488,0.0
8,3,82.0,955.0,2.697,1.275,0.0
4,5,87.0,946.0,2.944,4.432,0.0
5,4,83.0,972.0,2.944,0.621,0.0
4,6,87.0,976.0,4.022,0.585,0.0
6,4,83.0,972.0,4.022,0.541,2.0
4,7,87.0,976.0,12.683,0.657,2.0
7,4,83.0,968.0,12.683,0.624,2.0
4,8,87.0,978.0,4.587,0.388,1.0
8,4,83.0,970.0,4.587,0.761,5.0
5,6,87.0,965.0,4.128,0.645,0.0
6,5,83.0,972.0,4.128,0.409,3.0
5,7,87.0,875.0,5.651,0.669,0.0
7,5,76.0,887.0,5.651,0.774,0.0
5,8,87.0,957.0,5.458,1.903,0.0
8,5,83.0,965.0,5.458,1.704,0.0
6,7,86.0,970.0,2.884,1.104,0.0
7,6,83.0,966.0,2.884,0.703,1.0
6,8,87.0,946.0,6.02,1.776,0.0
8,6,83.0,968.0,6.02,0.42,0.0
7,8,87.0,971.0,18.231,0.511,2.0
8,7,82.0,963.0,18.231,0.585,1.0
