src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,129.0,748.0,71.529,41.084,0.0
1,0,65.0,762.0,71.529,11.58,0.0
0,2,128.0,750.0,67.098,44.284,0.0
2,0,65.0,756.0,67.098,11.977,0.0
0,3,129.0,755.0,68.9,39.996,2.0
3,0,66.0,774.0,68.9,11.775,1.0
0,4,128.0,756.0,66.287,42.394,0.0
4,0,64.0,748.0,66.287,11.814,0.0
0,5,128.0,763.0,63.625,40.93,0.0
5,0,66.0,765.0,63.625,11.819,0.0
0,6,129.0,743.0,81.482,43.016,0.0
6,0,63.0,739.0,81.482,12.216,0.0
1,2,128.0,741.0,75.459,44.296,0.0
2,1,64.0,752.0,75.459,11.918,0.0
1,3,128.0,755.0,61.782,40.694,0.0
3,1,66.0,769.0,61.782,11.418,0.0
1,4,129.0,746.0,72.064,43.298,0.0
4,1,65.0,754.0,72.064,12.234,0.0
1,5,129.0,754.0,65.268,42.117,0.0
5,1,66.0,771.0,65.268,11.498,0.0
1,6,128.0,751.0,68.273,41.536,0.0
6,1,64.0,742.0,68.273,11.784,0.0
2,3,129.0,748.0,75.242,41.073,0.0
3,2,66.0,766.0,75.242,11.738,0.0
2,4,129.0,744.0,57.761,41.456,0.0
4,2,65.0,756.0,57.761,11.473,0.0
2,5,129.0,742.0,74.335,41.463,0.0
5,2,66.0,773.0,74.335,11.379,1.0
2,6,129.0,735.0,77.373,40.233,0.0
6,2,64.0,743.0,77.373,12.314,0.0
3,4,128.0,746.0,66.689,41.066,0.0
4,3,65.0,760.0,66.689,11.558,0.0
3,5,130.0,753.0,68.105,40.736,0.0
5,3,67.0,777.0,68.105,11.193,0.0
3,6,128.0,735.0,76.255,44.649,0.0
6,3,63.0,739.0,76.255,12.003,0.0
4,5,129.0,730.0,64.759,43.002,0.0
5,4,67.0,775.0,64.759,11.526,0.0
4,6,128.0,745.0,62.874,41.311,0.0
6,4,64.0,745.0,62.874,11.909,0.0
5,6,128.0,742.0,80.722,42.291,0.0
6,5,63.0,739.0,80.722,11.532,0.0
