src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,767.0,8.75,3.346,0.103,0.0
1,0,740.0,8.7,3.346,0.097,0.0
0,2,767.0,3.5,7.398,0.213,7.0
2,0,124.0,1.45,7.398,4.484,3.0
0,3,767.0,5.98,4.066,0.1,0.0
3,0,439.0,5.16,4.066,1.265,0.0
0,4,767.0,4.53,5.773,0.141,1.0
4,0,293.0,3.43,5.773,3.444,1.0
0,5,767.0,3.65,7.118,0.481,13.0
5,0,139.0,1.63,7.118,7.091,0.0
1,2,767.0,4.04,5.657,0.238,0.0
2,1,238.0,2.79,5.657,4.307,0.0
1,3,767.0,8.99,2.971,0.1,8.0
3,1,767.0,9.41,2.971,0.098,10.0
1,4,767.0,5.65,4.144,0.102,0.0
4,1,399.0,4.69,4.144,2.453,0.0
1,5,767.0,4.17,5.939,0.102,13.0
5,1,230.0,2.68,5.939,1.175,2.0
2,3,767.0,5.94,4.514,0.106,6.0
3,2,415.0,4.88,4.514,1.58,7.0
2,4,767.0,8.43,3.477,0.221,2.0
4,2,698.0,8.2,3.477,0.309,3.0
2,5,767.0,5.84,4.577,0.108,0.0
5,2,393.0,4.61,4.577,1.267,0.0
3,4,767.0,8.55,3.082,0.104,2.0
4,3,739.0,8.69,3.082,0.239,1.0
3,5,767.0,5.23,4.292,0.1,0.0
5,3,346.0,4.05,4.292,2.085,0.0
4,5,767.0,8.69,3.115,0.102,0.0
5,4,739.0,8.68,3.115,0.12,0.0
