src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,154.0,713.0,2.848,50.185,0.0
1,0,66.0,774.0,2.848,9.393,0.0
0,2,155.0,711.0,14.669,50.13,0.0
2,0,66.0,771.0,14.669,9.627,0.0
0,3,154.0,710.0,5.793,50.988,1.0
3,0,67.0,784.0,5.793,9.136,1.0
0,4,155.0,722.0,5.76,47.497,4.0
4,0,68.0,788.0,5.76,9.119,1.0
0,5,153.0,713.0,7.635,50.019,2.0
5,0,66.0,771.0,7.635,9.883,5.0
0,6,156.0,717.0,8.438,48.699,0.0
6,0,67.0,786.0,8.438,9.09,0.0
1,2,155.0,709.0,3.198,50.006,0.0
2,1,66.0,760.0,3.198,10.073,0.0
1,3,156.0,712.0,4.409,49.411,0.0
3,1,67.0,786.0,4.409,9.107,0.0
1,4,156.0,712.0,4.042,49.226,0.0
4,1,67.0,784.0,4.042,9.225,0.0
1,5,154.0,711.0,5.498,49.543,0.0
5,1,66.0,769.0,5.498,9.567,0.0
1,6,156.0,708.0,7.068,51.064,3.0
6,1,67.0,782.0,7.068,9.241,1.0
2,3,156.0,699.0,2.755,49.93,0.0
3,2,66.0,775.0,2.755,9.374,0.0
2,4,156.0,698.0,3.019,49.691,1.0
4,2,68.0,793.0,3.019,9.201,1.0
2,5,155.0,698.0,4.522,51.426,0.0
5,2,66.0,773.0,4.522,9.265,0.0
2,6,156.0,699.0,5.822,50.332,0.0
6,2,67.0,777.0,5.822,9.664,0.0
3,4,154.0,716.0,4.45,50.352,0.0
4,3,67.0,782.0,4.45,9.209,2.0
3,5,154.0,717.0,5.442,49.577,1.0
5,3,66.0,769.0,5.442,9.496,1.0
3,6,155.0,718.0,7.156,49.244,1.0
6,3,67.0,782.0,7.156,9.466,4.0
4,5,155.0,714.0,2.647,49.97,0.0
5,4,66.0,773.0,2.647,9.308,0.0
4,6,155.0,716.0,4.319,49.732,1.0
6,4,66.0,773.0,4.319,9.776,1.0
5,6,156.0,706.0,2.877,49.413,0.0
6,5,66.0,772.0,2.877,9.454,0.0
