src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,87.0,1.0,8.133,0.246,0.0
1,0,86.0,1.0,8.133,0.273,0.0
0,2,87.0,1.0,4.446,0.318,0.0
2,0,86.0,1.0,4.446,0.137,0.0
0,3,87.0,1.0,3.174,0.3,0.0
3,0,86.0,1000.0,3.174,0.345,0.0
0,4,87.0,997.0,4.773,0.617,0.0
4,0,86.0,1.0,4.773,0.695,0.0
0,5,87.0,996.0,5.723,0.531,0.0
5,0,86.0,999.0,5.723,0.681,0.0
1,2,87.0,1.01,3.035,1.195,0.0
2,1,87.0,1.01,3.035,0.58,0.0
1,3,87.0,990.0,4.571,1.71,0.0
3,1,86.0,1.0,4.571,1.101,0.0
1,4,87.0,1.0,3.051,0.261,0.0
4,1,86.0,1.0,3.051,0.16,0.0
1,5,87.0,998.0,4.709,0.348,0.0
5,1,86.0,1.0,4.709,0.174,0.0
2,3,87.0,1.03,9.735,0.425,0.0
3,2,87.0,1.03,9.735,0.186,1.0
2,4,87.0,1.02,4.768,1.928,0.0
4,2,87.0,1.02,4.768,1.177,1.0
2,5,87.0,1.0,5.705,0.212,0.0
5,2,86.0,1.0,5.705,0.526,0.0
3,4,87.0,1.01,2.907,0.297,0.0
4,3,87.0,1.02,2.907,0.281,1.0
3,5,86.0,1.0,4.64,0.784,0.0
5,3,86.0,998.0,4.64,1.105,0.0
4,5,87.0,1.01,2.848,0.316,0.0
5,4,87.0,1.01,2.848,0.382,0.0
