src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,172.0,2000.0,3.763,0.431,0.0
1,0,171.0,2000.0,3.763,0.305,0.0
0,2,172.0,1990.0,4.145,0.371,0.0
2,0,171.0,2000.0,4.145,0.329,0.0
0,3,172.0,2029.9999999999998,3.254,1.442,0.0
3,0,172.0,2020.0,3.254,0.906,1.0
0,4,172.0,2000.0,4.347,1.16,0.0
4,0,171.0,2000.0,4.347,0.84,0.0
0,5,172.0,2000.0,9.39,0.341,0.0
5,0,171.0,2000.0,9.39,0.397,0.0
1,2,172.0,2020.0,3.085,0.326,0.0
2,1,172.0,2029.9999999999998,3.085,0.155,0.0
1,3,172.0,2000.0,4.53,0.319,0.0
3,1,171.0,2000.0,4.53,0.135,0.0
1,4,172.0,2000.0,3.066,0.871,0.0
4,1,171.0,2000.0,3.066,0.879,0.0
1,5,172.0,1990.0,4.384,0.333,0.0
5,1,171.0,2000.0,4.384,0.11,0.0
2,3,172.0,2070.0,9.03,1.118,1.0
3,2,172.0,2070.0,9.03,1.464,1.0
2,4,172.0,2040.0,4.756,0.947,1.0
4,2,172.0,2050.0,4.756,0.754,2.0
2,5,172.0,2000.0,2.785,0.306,0.0
5,2,171.0,2000.0,2.785,0.087,0.0
3,4,172.0,2000.0,2.936,0.93,0.0
4,3,171.0,2000.0,2.936,0.914,0.0
3,5,172.0,1990.0,4.297,0.597,0.0
5,3,171.0,2000.0,4.297,0.42,0.0
4,5,172.0,2000.0,3.172,0.888,0.0
5,4,171.0,2000.0,3.172,0.53,0.0
