src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,141.0,916.0,2.926,41.049,0.0
1,0,82.0,962.0,2.926,8.454,0.0
0,2,142.0,974.0,6.063,37.451,2.0
2,0,83.0,970.0,6.063,8.248,2.0
0,3,141.0,976.0,13.361,38.179,8.0
3,0,86.0,1000.0,13.361,8.243,12.0
0,4,142.0,973.0,4.515,36.884,1.0
4,0,85.0,988.0,4.515,8.306,1.0
0,5,141.0,941.0,9.806,38.158,0.0
5,0,82.0,956.0,9.806,8.446,0.0
0,6,142.0,976.0,8.431,36.909,5.0
6,0,84.0,983.0,8.431,8.267,9.0
0,7,142.0,935.0,10.645,38.336,0.0
7,0,82.0,962.0,10.645,8.147,0.0
1,2,141.0,936.0,7.152,40.237,0.0
2,1,84.0,976.0,7.152,8.14,0.0
1,3,142.0,962.0,10.811,36.634,5.0
3,1,85.0,991.0,10.811,10.68,28.0
1,4,142.0,937.0,3.192,40.598,1.0
4,1,84.0,980.0,3.192,8.194,1.0
1,5,141.0,917.0,12.698,42.638,0.0
5,1,82.0,955.0,12.698,8.498,0.0
1,6,142.0,926.0,6.707,40.535,0.0
6,1,84.0,981.0,6.707,8.173,0.0
1,7,142.0,964.0,8.274,37.534,5.0
7,1,85.0,988.0,8.274,8.253,8.0
2,3,142.0,918.0,8.222,42.516,0.0
3,2,83.0,968.0,8.222,8.182,0.0
2,4,141.0,951.0,3.053,37.535,1.0
4,2,83.0,975.0,3.053,8.143,0.0
2,5,141.0,922.0,4.683,42.283,0.0
5,2,82.0,962.0,4.683,8.468,0.0
2,6,141.0,948.0,12.852,37.463,0.0
6,2,84.0,976.0,12.852,8.179,1.0
2,7,141.0,964.0,5.886,38.527,2.0
7,2,84.0,982.0,5.886,8.263,2.0
3,4,142.0,975.0,8.849,37.692,3.0
4,3,84.0,981.0,8.849,8.235,8.0
3,5,142.0,916.0,4.544,42.84,0.0
5,3,82.0,959.0,4.544,8.621,0.0
3,6,142.0,972.0,5.813,37.673,3.0
6,3,84.0,982.0,5.813,8.157,3.0
3,7,141.0,930.0,3.653,42.586,0.0
7,3,84.0,980.0,3.653,8.123,0.0
4,5,141.0,941.0,6.097,39.752,0.0
5,4,82.0,954.0,6.097,8.392,0.0
4,6,141.0,937.0,4.671,39.962,0.0
6,4,84.0,976.0,4.671,8.216,0.0
4,7,142.0,927.0,7.741,41.274,0.0
7,4,84.0,977.0,7.741,8.112,0.0
5,6,140.0,907.0,3.409,41.798,0.0
6,5,83.0,969.0,3.409,8.204,0.0
5,7,141.0,923.0,20.174,38.793,0.0
7,5,83.0,967.0,20.174,8.347,0.0
6,7,141.0,977.0,4.67,36.856,3.0
7,6,84.0,977.0,4.67,8.18,4.0
