src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,87.0,1000.0,3.036,0.233,0.0
1,0,86.0,1.0,3.036,0.202,0.0
0,2,87.0,1.0,7.711,1.062,0.0
2,0,85.0,999.0,7.711,0.474,0.0
0,3,87.0,1.0,4.555,0.339,0.0
3,0,86.0,1.0,4.555,0.354,0.0
0,4,87.0,1.0,5.891,0.764,0.0
4,0,86.0,1.0,5.891,0.962,0.0
0,5,87.0,1.05,7.454,0.729,1.0
5,0,87.0,1.05,7.454,0.26,1.0
1,2,87.0,999.0,6.251,0.481,0.0
2,1,86.0,1.0,6.251,0.26,0.0
1,3,87.0,1.0,2.996,0.128,0.0
3,1,86.0,1.0,2.996,0.076,0.0
1,4,87.0,1.04,4.408,0.416,1.0
4,1,87.0,1.03,4.408,0.387,0.0
1,5,87.0,1.03,5.376,1.405,2.0
5,1,87.0,1.03,5.376,1.765,1.0
2,3,87.0,1.02,4.553,1.599,1.0
3,2,87.0,1.03,4.553,1.699,0.0
2,4,87.0,1.0,3.103,0.574,0.0
4,2,86.0,1.0,3.103,0.394,0.0
2,5,87.0,1.03,4.338,0.71,1.0
5,2,87.0,1.02,4.338,0.701,1.0
3,4,87.0,1.0,2.823,0.269,0.0
4,3,86.0,1.0,2.823,0.123,0.0
3,5,87.0,1.0,4.656,0.34,0.0
5,3,86.0,1.0,4.656,0.232,0.0
4,5,87.0,1.0,3.553,1.21,0.0
5,4,86.0,1.0,3.553,1.493,0.0
