src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,342.0,3.97,15.992,1.211,0.0
1,0,341.0,4.0,15.992,0.804,0.0
0,2,342.0,3.32,7.06,1.535,1.0
2,0,342.0,4.14,7.06,1.916,6.0
0,3,342.0,4.0,4.251,0.862,0.0
3,0,341.0,4.0,4.251,0.976,0.0
0,4,342.0,3.75,5.437,1.303,0.0
4,0,315.0,3.7,5.437,1.13,0.0
0,5,342.0,3.57,7.561,1.528,1.0
5,0,284.0,3.34,7.561,1.631,0.0
1,2,342.0,4.15,6.578,1.074,2.0
2,1,342.0,4.29,6.578,1.512,2.0
1,3,342.0,4.11,3.034,1.216,2.0
3,1,342.0,4.07,3.034,0.526,1.0
1,4,342.0,4.01,5.493,0.195,0.0
4,1,341.0,3.99,5.493,0.489,0.0
1,5,342.0,4.0,8.474,0.613,0.0
5,1,341.0,4.01,8.474,0.855,0.0
2,3,342.0,4.01,4.59,0.173,0.0
3,2,341.0,4.0,4.59,0.407,0.0
2,4,342.0,3.97,3.192,0.684,0.0
4,2,341.0,4.0,3.192,0.279,0.0
2,5,342.0,4.1,4.399,0.595,2.0
5,2,342.0,4.05,4.399,1.849,0.0
3,4,342.0,3.99,3.037,0.567,0.0
4,3,341.0,4.0,3.037,0.277,0.0
3,5,342.0,4.0,4.569,0.586,0.0
5,3,341.0,3.99,4.569,0.819,0.0
4,5,342.0,3.99,2.995,0.466,0.0
5,4,341.0,3.98,2.995,0.589,0.0
