src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,147.0,668.0,110.138,58.579,0.0
1,0,62.0,724.0,110.138,14.437,0.0
0,2,141.0,680.0,30.043,59.364,0.0
2,0,64.0,743.0,30.043,14.399,0.0
0,3,144.0,673.0,70.83,56.879,0.0
3,0,63.0,738.0,70.83,14.669,0.0
0,4,147.0,669.0,127.507,58.011,0.0
4,0,60.0,697.0,127.507,16.33,0.0
0,5,145.0,667.0,104.085,60.148,0.0
5,0,62.0,712.0,104.085,15.319,0.0
0,6,145.0,668.0,79.369,58.854,0.0
6,0,61.0,713.0,79.369,14.33,0.0
1,2,145.0,645.0,65.646,59.027,0.0
2,1,63.0,733.0,65.646,14.522,0.0
1,3,146.0,642.0,82.234,58.951,0.0
3,1,64.0,743.0,82.234,13.99,0.0
1,4,146.0,655.0,108.556,58.64,0.0
4,1,61.0,708.0,108.556,15.493,0.0
1,5,144.0,647.0,80.053,60.221,0.0
5,1,62.0,719.0,80.053,14.281,0.0
1,6,146.0,652.0,80.547,58.929,0.0
6,1,62.0,722.0,80.547,14.371,0.0
2,3,146.0,653.0,65.324,58.633,0.0
3,2,64.0,747.0,65.324,13.887,0.0
2,4,144.0,653.0,102.355,58.512,0.0
4,2,60.0,700.0,102.355,15.098,0.0
2,5,140.0,661.0,58.143,60.35,0.0
5,2,61.0,710.0,58.143,14.562,0.0
2,6,145.0,648.0,88.187,59.814,0.0
6,2,62.0,728.0,88.187,14.648,0.0
3,4,146.0,657.0,112.573,59.647,0.0
4,3,61.0,705.0,112.573,15.372,0.0
3,5,145.0,661.0,92.108,57.933,0.0
5,3,62.0,714.0,92.108,15.179,0.0
3,6,146.0,658.0,88.495,59.076,0.0
6,3,62.0,728.0,88.495,15.071,0.0
4,5,146.0,631.0,115.156,58.342,0.0
5,4,62.0,726.0,115.156,14.482,0.0
4,6,145.0,622.0,87.241,60.777,0.0
6,4,63.0,733.0,87.241,14.579,0.0
5,6,146.0,634.0,77.358,59.359,0.0
6,5,63.0,731.0,77.358,14.252,0.0
