src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,142.0,603.0,122.455,63.117,0.0
1,0,60.0,695.0,122.455,15.957,0.0
0,2,140.0,609.0,132.75,61.409,0.0
2,0,61.0,713.0,132.75,15.038,0.0
0,3,141.0,614.0,105.238,60.763,0.0
3,0,63.0,731.0,105.238,14.994,0.0
0,4,142.0,610.0,148.037,61.362,0.0
4,0,62.0,722.0,148.037,15.225,0.0
0,5,141.0,617.0,110.107,60.701,0.0
5,0,62.0,727.0,110.107,14.92,0.0
0,6,141.0,614.0,84.53,61.916,0.0
6,0,64.0,742.0,84.53,14.431,0.0
1,2,137.0,624.0,82.956,57.816,0.0
2,1,63.0,731.0,82.956,14.53,0.0
1,3,142.0,605.0,86.441,62.126,0.0
3,1,63.0,739.0,86.441,14.833,0.0
1,4,141.0,601.0,161.123,61.641,0.0
4,1,61.0,712.0,161.123,14.663,0.0
1,5,140.0,609.0,119.504,60.833,0.0
5,1,62.0,726.0,119.504,15.207,0.0
1,6,141.0,598.0,108.227,61.445,0.0
6,1,62.0,728.0,108.227,14.942,0.0
2,3,139.0,632.0,96.803,58.383,0.0
3,2,63.0,735.0,96.803,14.403,0.0
2,4,140.0,618.0,97.464,59.505,0.0
4,2,61.0,713.0,97.464,15.464,0.0
2,5,140.0,621.0,70.913,61.444,0.0
5,2,62.0,723.0,70.913,14.863,0.0
2,6,141.0,615.0,47.045,61.072,0.0
6,2,63.0,731.0,47.045,14.476,0.0
3,4,140.0,637.0,118.865,57.927,0.0
4,3,62.0,713.0,118.865,15.323,0.0
3,5,141.0,620.0,125.256,61.487,0.0
5,3,62.0,721.0,125.256,15.256,0.0
3,6,140.0,628.0,82.179,59.381,0.0
6,3,63.0,733.0,82.179,14.745,0.0
4,5,137.0,630.0,67.574,56.076,0.0
5,4,62.0,726.0,67.574,15.292,0.0
4,6,140.0,621.0,82.398,57.717,0.0
6,4,64.0,746.0,82.398,14.703,0.0
5,6,141.0,615.0,100.839,61.276,0.0
6,5,63.0,739.0,100.839,14.659,0.0
