src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,142.0,717.0,5.559,54.841,0.0
1,0,67.0,784.0,5.559,13.726,0.0
0,2,143.0,726.0,4.432,51.742,1.0
2,0,67.0,778.0,4.432,13.724,0.0
0,3,144.0,710.0,5.885,56.096,0.0
3,0,68.0,788.0,5.885,13.62,0.0
0,4,143.0,722.0,19.52,52.848,1.0
4,0,67.0,782.0,19.52,13.705,1.0
0,5,142.0,714.0,7.39,55.063,0.0
5,0,67.0,778.0,7.39,14.099,0.0
0,6,144.0,710.0,8.498,56.409,0.0
6,0,67.0,782.0,8.498,14.005,0.0
1,2,143.0,717.0,2.886,55.465,0.0
2,1,67.0,780.0,2.886,13.636,0.0
1,3,142.0,733.0,5.759,53.653,0.0
3,1,68.0,791.0,5.759,13.687,1.0
1,4,143.0,721.0,4.223,55.186,0.0
4,1,67.0,786.0,4.223,13.63,0.0
1,5,143.0,732.0,5.811,53.027,0.0
5,1,66.0,773.0,5.811,14.074,1.0
1,6,143.0,744.0,6.986,51.167,2.0
6,1,66.0,774.0,6.986,13.915,2.0
2,3,142.0,712.0,3.024,55.238,0.0
3,2,68.0,790.0,3.024,13.628,1.0
2,4,143.0,706.0,3.01,56.865,0.0
4,2,67.0,786.0,3.01,13.612,0.0
2,5,143.0,709.0,4.637,56.747,0.0
5,2,67.0,777.0,4.637,14.083,0.0
2,6,143.0,707.0,5.412,56.217,0.0
6,2,67.0,782.0,5.412,13.735,0.0
3,4,142.0,749.0,6.434,50.783,1.0
4,3,67.0,786.0,6.434,13.639,2.0
3,5,143.0,719.0,10.015,55.881,0.0
5,3,67.0,777.0,10.015,13.869,0.0
3,6,143.0,737.0,7.182,51.968,2.0
6,3,67.0,777.0,7.182,13.902,2.0
4,5,143.0,721.0,9.432,55.255,1.0
5,4,66.0,773.0,9.432,14.051,1.0
4,6,144.0,715.0,4.123,55.96,0.0
6,4,66.0,775.0,4.123,14.107,0.0
5,6,143.0,702.0,2.943,56.602,0.0
6,5,67.0,777.0,2.943,13.907,0.0
