src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,152.0,659.0,57.335,56.939,0.0
1,0,64.0,750.0,57.335,13.387,0.0
0,2,154.0,660.0,60.633,56.125,0.0
2,0,64.0,747.0,60.633,13.216,0.0
0,3,155.0,662.0,59.746,56.534,0.0
3,0,66.0,763.0,59.746,13.778,0.0
0,4,154.0,664.0,38.024,55.782,0.0
4,0,64.0,747.0,38.024,13.395,0.0
0,5,154.0,661.0,84.372,55.687,0.0
5,0,63.0,731.0,84.372,13.499,0.0
0,6,154.0,666.0,58.833,56.652,0.0
6,0,65.0,760.0,58.833,13.506,0.0
1,2,154.0,681.0,74.664,54.856,0.0
2,1,64.0,752.0,74.664,13.232,0.0
1,3,153.0,680.0,48.707,56.596,0.0
3,1,65.0,760.0,48.707,13.241,0.0
1,4,154.0,678.0,74.142,55.766,0.0
4,1,64.0,740.0,74.142,13.652,0.0
1,5,153.0,679.0,66.435,57.789,0.0
5,1,63.0,733.0,66.435,13.711,0.0
1,6,147.0,682.0,7.326,56.655,0.0
6,1,66.0,774.0,7.326,12.879,1.0
2,3,153.0,668.0,70.283,56.057,0.0
3,2,66.0,767.0,70.283,12.99,0.0
2,4,153.0,665.0,59.094,56.834,0.0
4,2,64.0,746.0,59.094,13.519,0.0
2,5,154.0,672.0,65.478,56.33,0.0
5,2,63.0,735.0,65.478,13.674,0.0
2,6,155.0,666.0,64.248,56.58,0.0
6,2,65.0,759.0,64.248,12.927,0.0
3,4,152.0,675.0,61.434,57.89,0.0
4,3,64.0,752.0,61.434,13.357,0.0
3,5,155.0,676.0,93.541,56.085,0.0
5,3,63.0,731.0,93.541,13.943,0.0
3,6,154.0,678.0,41.72,55.266,0.0
6,3,66.0,765.0,41.72,13.055,0.0
4,5,154.0,674.0,76.346,58.277,0.0
5,4,64.0,741.0,76.346,13.816,0.0
4,6,153.0,676.0,50.142,54.488,0.0
6,4,66.0,767.0,50.142,12.927,0.0
5,6,153.0,664.0,67.581,56.416,0.0
6,5,66.0,765.0,67.581,13.249,0.0
