src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,168.0,959.0,16.487,11.409,1.0
1,0,83.0,968.0,16.487,9.148,1.0
0,2,167.0,910.0,2.562,49.163,0.0
2,0,83.0,966.0,2.562,9.43,0.0
0,3,166.0,970.0,36.445,11.567,0.0
3,0,84.0,982.0,36.445,9.135,0.0
0,4,164.0,966.0,34.443,11.924,0.0
4,0,83.0,966.0,34.443,9.293,0.0
1,2,166.0,970.0,23.553,11.558,0.0
2,1,83.0,972.0,23.553,9.363,0.0
1,3,162.0,964.0,26.457,12.383,0.0
3,1,84.0,980.0,26.457,9.196,0.0
1,4,165.0,968.0,42.95,11.531,0.0
4,1,83.0,972.0,42.95,9.14,0.0
2,3,166.0,961.0,9.797,11.729,3.0
3,2,84.0,983.0,9.797,9.107,3.0
2,4,167.0,965.0,31.424,11.415,0.0
4,2,83.0,972.0,31.424,9.159,0.0
3,4,163.0,966.0,37.204,12.144,0.0
4,3,82.0,963.0,37.204,9.539,0.0
