src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,148.0,872.0,9.654,50.446,0.0
1,0,82.0,963.0,9.654,11.099,0.0
0,2,153.0,865.0,6.169,51.238,0.0
2,0,81.0,943.0,6.169,11.313,0.0
0,3,153.0,874.0,24.553,51.378,0.0
3,0,81.0,945.0,24.553,11.741,0.0
0,4,153.0,862.0,16.868,50.709,0.0
4,0,80.0,932.0,16.868,11.101,0.0
1,2,152.0,854.0,4.454,53.166,0.0
2,1,79.0,925.0,4.454,11.953,0.0
1,3,153.0,861.0,2.812,51.121,0.0
3,1,80.0,933.0,2.812,11.457,0.0
1,4,155.0,869.0,37.558,50.681,0.0
4,1,81.0,946.0,37.558,11.521,0.0
2,3,153.0,860.0,20.922,51.639,0.0
3,2,81.0,945.0,20.922,11.587,0.0
2,4,153.0,849.0,16.982,51.035,0.0
4,2,80.0,932.0,16.982,11.39,0.0
3,4,152.0,848.0,12.679,50.054,0.0
4,3,80.0,937.0,12.679,11.535,0.0
