src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,597.0,3.22,7.276,1.206,0.0
1,0,159.0,1.86,7.276,4.291,0.0
0,2,597.0,5.13,4.934,1.566,0.0
2,0,430.0,5.03,4.934,1.841,0.0
0,3,597.0,2.79,7.632,1.599,0.0
3,0,106.0,1.25,7.632,7.208,0.0
0,4,597.0,6.47,2.808,0.584,0.0
4,0,538.0,6.32,2.808,0.547,0.0
0,5,597.0,4.14,5.952,0.483,0.0
5,0,266.0,3.13,5.952,2.024,0.0
1,2,597.0,5.2,3.606,0.452,0.0
2,1,380.0,4.47,3.606,0.9,0.0
1,3,597.0,6.52,3.01,0.545,6.0
3,1,553.0,6.45,3.01,0.878,4.0
1,4,597.0,3.75,7.024,2.213,0.0
4,1,248.0,2.91,7.024,2.184,0.0
1,5,597.0,6.6,5.131,0.406,0.0
5,1,558.0,6.55,5.131,0.517,0.0
2,3,597.0,4.16,5.811,0.6,0.0
3,2,264.0,3.1,5.811,4.604,0.0
2,4,597.0,6.86,2.973,0.898,2.0
4,2,580.0,6.79,2.973,1.57,2.0
2,5,597.0,6.97,2.845,0.982,0.0
5,2,595.0,7.0,2.845,0.663,0.0
3,4,597.0,3.36,6.751,1.002,0.0
4,3,174.0,2.03,6.751,3.751,0.0
3,5,597.0,5.19,4.276,0.541,0.0
5,3,376.0,4.39,4.276,2.197,0.0
4,5,597.0,4.64,4.189,0.535,3.0
5,4,371.0,4.36,4.189,1.579,0.0
