src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,155.0,808.0,5.847,51.894,0.0
1,0,78.0,911.0,5.847,11.5,0.0
0,2,155.0,817.0,14.472,51.095,0.0
2,0,80.0,931.0,14.472,11.46,0.0
0,3,154.0,825.0,10.574,50.92,0.0
3,0,79.0,917.0,10.574,11.501,0.0
0,4,148.0,817.0,3.778,53.033,0.0
4,0,79.0,919.0,3.778,11.407,0.0
0,5,154.0,819.0,3.724,51.661,0.0
5,0,79.0,923.0,3.724,11.253,0.0
0,6,156.0,826.0,7.905,50.468,0.0
6,0,81.0,947.0,7.905,11.131,0.0
0,7,148.0,816.0,5.571,51.826,0.0
7,0,79.0,921.0,5.571,11.247,0.0
1,2,154.0,840.0,5.305,51.301,0.0
2,1,80.0,937.0,5.305,11.46,0.0
1,3,155.0,835.0,20.958,52.457,0.0
3,1,79.0,918.0,20.958,11.461,0.0
1,4,156.0,836.0,12.163,52.189,0.0
4,1,80.0,930.0,12.163,11.408,0.0
1,5,155.0,839.0,18.354,51.777,0.0
5,1,80.0,930.0,18.354,11.534,0.0
1,6,154.0,838.0,3.915,51.974,0.0
6,1,81.0,948.0,3.915,11.194,0.0
1,7,155.0,832.0,5.383,51.984,0.0
7,1,80.0,934.0,5.383,11.149,0.0
2,3,155.0,837.0,27.496,52.152,0.0
3,2,79.0,913.0,27.496,12.193,0.0
2,4,154.0,826.0,7.268,52.853,0.0
4,2,79.0,919.0,7.268,11.589,0.0
2,5,153.0,837.0,6.483,51.79,0.0
5,2,79.0,919.0,6.483,11.41,0.0
2,6,156.0,822.0,4.582,53.463,0.0
6,2,81.0,950.0,4.582,11.048,0.0
2,7,154.0,821.0,3.301,52.215,0.0
7,2,79.0,925.0,3.301,11.436,0.0
3,4,154.0,816.0,9.031,52.094,0.0
4,3,79.0,921.0,9.031,11.617,0.0
3,5,155.0,814.0,24.299,51.713,0.0
5,3,79.0,925.0,24.299,11.954,0.0
3,6,155.0,810.0,5.641,52.365,0.0
6,3,81.0,946.0,5.641,11.287,0.0
3,7,155.0,816.0,15.076,52.155,0.0
7,3,79.0,929.0,15.076,11.793,0.0
4,5,157.0,819.0,3.839,53.271,0.0
5,4,80.0,926.0,3.839,11.815,0.0
4,6,155.0,814.0,5.477,51.034,0.0
6,4,81.0,950.0,5.477,11.147,0.0
4,7,156.0,829.0,11.69,52.556,0.0
7,4,81.0,947.0,11.69,11.253,0.0
5,6,155.0,815.0,12.352,51.904,0.0
6,5,80.0,939.0,12.352,11.366,0.0
5,7,154.0,820.0,4.927,52.106,0.0
7,5,79.0,921.0,4.927,11.459,0.0
6,7,154.0,838.0,10.429,53.011,0.0
7,6,80.0,937.0,10.429,11.13,0.0
