src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,152.0,809.0,6.408,52.983,0.0
1,0,79.0,923.0,6.408,11.836,0.0
0,2,154.0,806.0,7.098,51.919,0.0
2,0,80.0,933.0,7.098,11.46,0.0
0,3,152.0,820.0,7.925,52.332,0.0
3,0,79.0,924.0,7.925,11.951,0.0
0,4,152.0,805.0,4.752,51.961,0.0
4,0,78.0,912.0,4.752,11.551,0.0
0,5,154.0,812.0,2.99,51.52,0.0
5,0,78.0,912.0,2.99,11.616,0.0
0,6,155.0,816.0,5.161,51.383,0.0
6,0,81.0,947.0,5.161,11.435,0.0
0,7,153.0,800.0,11.69,52.913,0.0
7,0,79.0,918.0,11.69,11.58,0.0
1,2,153.0,821.0,6.379,53.127,0.0
2,1,80.0,934.0,6.379,11.41,0.0
1,3,153.0,792.0,7.166,59.019,0.0
3,1,79.0,921.0,7.166,11.927,0.0
1,4,153.0,811.0,11.208,53.643,0.0
4,1,78.0,906.0,11.208,12.303,0.0
1,5,153.0,816.0,20.983,53.747,0.0
5,1,78.0,912.0,20.983,11.669,0.0
1,6,154.0,821.0,3.779,53.701,0.0
6,1,81.0,952.0,3.779,11.237,0.0
1,7,154.0,813.0,4.612,53.413,0.0
7,1,79.0,918.0,4.612,11.923,0.0
2,3,154.0,830.0,28.108,52.337,0.0
3,2,79.0,915.0,28.108,12.056,0.0
2,4,154.0,839.0,23.284,52.065,0.0
4,2,79.0,923.0,23.284,11.361,0.0
2,5,153.0,820.0,37.105,53.319,0.0
5,2,78.0,908.0,37.105,11.915,0.0
2,6,154.0,812.0,16.231,55.126,0.0
6,2,82.0,955.0,16.231,11.35,0.0
2,7,153.0,816.0,4.451,53.793,0.0
7,2,78.0,916.0,4.451,11.735,0.0
3,4,152.0,804.0,8.62,52.729,0.0
4,3,78.0,913.0,8.62,11.847,0.0
3,5,153.0,793.0,6.234,54.977,0.0
5,3,77.0,896.0,6.234,12.62,0.0
3,6,153.0,802.0,6.406,53.327,0.0
6,3,81.0,951.0,6.406,10.928,0.0
3,7,155.0,802.0,8.92,51.909,0.0
7,3,80.0,936.0,8.92,11.332,0.0
4,5,152.0,817.0,19.035,53.582,0.0
5,4,78.0,908.0,19.035,11.925,0.0
4,6,152.0,809.0,4.085,52.843,0.0
6,4,81.0,946.0,4.085,11.579,0.0
4,7,154.0,819.0,7.111,53.256,0.0
7,4,80.0,932.0,7.111,11.274,0.0
5,6,152.0,808.0,6.338,53.285,0.0
6,5,79.0,929.0,6.338,11.981,0.0
5,7,154.0,806.0,22.391,53.483,0.0
7,5,79.0,925.0,22.391,11.61,0.0
6,7,153.0,840.0,17.608,52.445,0.0
7,6,80.0,932.0,17.608,11.46,0.0
