src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,129.0,774.0,45.838,40.026,0.0
1,0,67.0,787.0,45.838,11.025,0.0
0,2,129.0,775.0,29.861,39.51,1.0
2,0,67.0,783.0,29.861,11.071,1.0
0,3,129.0,764.0,46.633,41.039,0.0
3,0,66.0,765.0,46.633,11.257,0.0
0,4,129.0,774.0,21.683,41.513,2.0
4,0,67.0,786.0,21.683,11.079,1.0
0,5,129.0,770.0,51.82,41.509,0.0
5,0,66.0,767.0,51.82,11.232,0.0
0,6,129.0,776.0,33.854,40.365,1.0
6,0,68.0,792.0,33.854,11.064,1.0
1,2,129.0,779.0,17.517,39.797,0.0
2,1,67.0,782.0,17.517,11.055,0.0
1,3,128.0,763.0,43.069,41.862,0.0
3,1,65.0,763.0,43.069,11.397,0.0
1,4,129.0,779.0,8.701,39.888,1.0
4,1,68.0,786.0,8.701,11.395,1.0
1,5,129.0,778.0,30.451,40.96,1.0
5,1,66.0,773.0,30.451,11.127,1.0
1,6,129.0,781.0,36.334,38.811,1.0
6,1,68.0,791.0,36.334,11.052,1.0
2,3,129.0,769.0,44.19,40.868,0.0
3,2,66.0,769.0,44.19,11.305,0.0
2,4,129.0,775.0,23.193,41.006,1.0
4,2,67.0,783.0,23.193,11.201,2.0
2,5,129.0,764.0,51.453,42.27,0.0
5,2,66.0,769.0,51.453,11.544,0.0
2,6,129.0,774.0,44.914,40.456,0.0
6,2,68.0,791.0,44.914,11.055,1.0
3,4,129.0,747.0,42.087,42.983,0.0
4,3,67.0,784.0,42.087,11.41,0.0
3,5,129.0,752.0,48.296,40.538,0.0
5,3,66.0,771.0,48.296,11.396,0.0
3,6,129.0,751.0,45.828,41.51,0.0
6,3,67.0,786.0,45.828,11.063,0.0
4,5,129.0,766.0,49.527,40.788,0.0
5,4,66.0,769.0,49.527,11.249,0.0
4,6,128.0,777.0,19.386,41.314,1.0
6,4,68.0,788.0,19.386,11.118,1.0
5,6,129.0,754.0,56.134,40.625,0.0
6,5,67.0,778.0,56.134,11.269,0.0
