src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,165.0,887.0,6.699,47.786,0.0
1,0,84.0,982.0,6.699,10.139,0.0
0,2,167.0,908.0,4.532,46.639,0.0
2,0,83.0,972.0,4.532,10.337,0.0
0,3,166.0,903.0,6.381,47.377,2.0
3,0,84.0,986.0,6.381,10.227,1.0
0,4,167.0,905.0,3.506,47.016,0.0
4,0,84.0,985.0,3.506,10.074,0.0
0,5,166.0,905.0,7.363,46.805,0.0
5,0,83.0,973.0,7.363,10.091,0.0
0,6,166.0,901.0,4.767,47.596,1.0
6,0,82.0,963.0,4.767,10.238,2.0
0,7,165.0,902.0,7.061,46.631,0.0
7,0,83.0,974.0,7.061,10.345,0.0
1,2,165.0,914.0,3.24,47.115,1.0
2,1,83.0,969.0,3.24,10.221,1.0
1,3,156.0,914.0,7.856,48.721,1.0
3,1,83.0,975.0,7.856,10.137,1.0
1,4,165.0,914.0,4.341,47.117,1.0
4,1,85.0,989.0,4.341,10.094,2.0
1,5,167.0,915.0,3.251,46.999,0.0
5,1,84.0,976.0,3.251,10.176,1.0
1,6,164.0,905.0,5.946,47.885,0.0
6,1,83.0,968.0,5.946,10.253,0.0
1,7,167.0,914.0,4.768,46.343,1.0
7,1,84.0,981.0,4.768,10.097,2.0
2,3,167.0,902.0,3.527,47.104,0.0
3,2,84.0,980.0,3.527,10.092,0.0
2,4,165.0,898.0,3.307,47.598,1.0
4,2,84.0,986.0,3.307,10.079,0.0
2,5,167.0,898.0,4.704,47.659,3.0
5,2,83.0,974.0,4.704,10.11,3.0
2,6,165.0,895.0,5.352,47.435,0.0
6,2,82.0,960.0,5.352,10.229,0.0
2,7,166.0,903.0,3.231,47.517,0.0
7,2,84.0,980.0,3.231,10.205,0.0
3,4,167.0,912.0,4.542,47.026,1.0
4,3,84.0,983.0,4.542,10.052,2.0
3,5,156.0,909.0,6.371,49.152,0.0
5,3,83.0,974.0,6.371,10.228,0.0
3,6,166.0,908.0,3.069,46.906,0.0
6,3,83.0,966.0,3.069,10.315,0.0
3,7,166.0,910.0,4.42,47.153,1.0
7,3,84.0,983.0,4.42,10.105,1.0
4,5,167.0,913.0,6.265,46.269,1.0
5,4,84.0,976.0,6.265,10.096,3.0
4,6,165.0,910.0,3.461,46.664,0.0
6,4,82.0,963.0,3.461,10.376,0.0
4,7,166.0,915.0,4.967,46.949,2.0
7,4,84.0,979.0,4.967,10.106,4.0
5,6,165.0,901.0,11.613,47.725,0.0
6,5,82.0,962.0,11.613,10.543,0.0
5,7,166.0,907.0,6.091,47.012,2.0
7,5,84.0,981.0,6.091,10.094,3.0
6,7,165.0,896.0,3.116,47.559,1.0
7,6,84.0,979.0,3.116,10.187,0.0
