src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,427.0,4.79,2.97,0.302,0.0
1,0,399.0,4.68,2.97,0.273,0.0
0,2,426.0,4.71,7.741,2.464,0.0
2,0,410.0,4.81,7.741,0.384,0.0
0,3,427.0,4.86,3.758,0.657,0.0
3,0,414.0,4.86,3.758,0.384,0.0
0,4,427.0,4.84,5.243,0.53,0.0
4,0,413.0,4.85,5.243,0.525,0.0
1,2,427.0,4.84,3.395,0.515,0.0
2,1,412.0,4.84,3.395,0.327,0.0
1,3,427.0,4.55,5.084,0.293,0.0
3,1,401.0,4.71,5.084,0.723,0.0
1,4,427.0,3.5,6.704,0.445,16.0
4,1,226.0,2.66,6.704,5.594,0.0
2,3,427.0,4.74,3.263,0.227,0.0
3,2,404.0,4.74,3.263,0.194,0.0
2,4,427.0,4.6,5.043,1.349,1.0
4,2,386.0,4.53,5.043,1.107,0.0
3,4,427.0,4.71,3.456,0.487,0.0
4,3,391.0,4.59,3.456,0.336,0.0
