src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,172.0,887.0,4.975,48.68,0.0
1,0,83.0,973.0,4.975,9.75,2.0
0,2,170.0,891.0,3.492,49.269,0.0
2,0,83.0,970.0,3.492,9.988,0.0
0,3,172.0,893.0,5.228,48.824,0.0
3,0,83.0,974.0,5.228,9.981,0.0
0,4,172.0,891.0,3.482,49.224,0.0
4,0,84.0,981.0,3.482,9.703,0.0
1,2,171.0,898.0,3.453,48.845,0.0
2,1,83.0,972.0,3.453,9.756,0.0
1,3,171.0,916.0,5.56,46.885,5.0
3,1,84.0,976.0,5.56,9.793,11.0
1,4,172.0,902.0,3.538,48.529,3.0
4,1,84.0,983.0,3.538,9.73,3.0
2,3,174.0,894.0,4.812,48.389,0.0
3,2,84.0,981.0,4.812,9.729,0.0
2,4,171.0,888.0,3.623,49.324,0.0
4,2,84.0,979.0,3.623,9.794,0.0
3,4,170.0,904.0,5.283,47.578,5.0
4,3,84.0,983.0,5.283,9.731,8.0
