src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,153.0,882.0,4.173,50.466,0.0
1,0,83.0,976.0,4.173,10.401,0.0
0,2,161.0,898.0,2.871,48.229,0.0
2,0,84.0,977.0,2.871,10.404,0.0
0,3,162.0,900.0,9.082,48.545,0.0
3,0,84.0,985.0,9.082,10.359,0.0
0,4,162.0,903.0,2.867,48.397,0.0
4,0,84.0,980.0,2.867,10.36,0.0
1,2,160.0,899.0,2.721,49.195,0.0
2,1,84.0,983.0,2.721,10.384,0.0
1,3,161.0,899.0,4.145,48.438,0.0
3,1,84.0,981.0,4.145,10.331,0.0
1,4,161.0,901.0,8.509,48.207,0.0
4,1,84.0,979.0,8.509,10.483,0.0
2,3,160.0,914.0,2.723,48.621,0.0
3,2,84.0,986.0,2.723,10.363,2.0
2,4,162.0,913.0,2.883,48.45,1.0
4,2,84.0,976.0,2.883,10.378,2.0
3,4,161.0,913.0,4.531,48.329,3.0
4,3,84.0,977.0,4.531,10.749,2.0
