src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,147.0,649.0,67.266,58.746,0.0
1,0,62.0,722.0,67.266,14.471,0.0
0,2,145.0,657.0,78.763,59.344,0.0
2,0,65.0,757.0,78.763,14.063,0.0
0,3,145.0,644.0,65.111,60.376,0.0
3,0,63.0,735.0,65.111,14.008,0.0
0,4,146.0,651.0,72.224,58.823,0.0
4,0,63.0,739.0,72.224,14.28,0.0
0,5,146.0,651.0,85.387,57.955,0.0
5,0,63.0,736.0,85.387,14.721,0.0
0,6,146.0,653.0,106.557,57.41,0.0
6,0,62.0,722.0,106.557,14.587,0.0
1,2,145.0,642.0,63.546,57.91,0.0
2,1,64.0,752.0,63.546,13.728,0.0
1,3,147.0,645.0,79.797,57.646,0.0
3,1,64.0,746.0,79.797,14.489,0.0
1,4,146.0,649.0,67.133,58.407,0.0
4,1,63.0,739.0,67.133,14.046,0.0
1,5,145.0,644.0,84.323,58.667,0.0
5,1,62.0,722.0,84.323,15.1,0.0
1,6,146.0,639.0,111.598,59.07,0.0
6,1,62.0,722.0,111.598,14.385,0.0
2,3,147.0,656.0,83.774,57.537,0.0
3,2,63.0,737.0,83.774,14.288,0.0
2,4,144.0,655.0,49.666,60.164,0.0
4,2,61.0,716.0,49.666,15.018,0.0
2,5,146.0,669.0,104.168,57.213,0.0
5,2,63.0,739.0,104.168,14.586,0.0
2,6,147.0,664.0,113.535,59.617,0.0
6,2,62.0,721.0,113.535,14.565,0.0
3,4,148.0,652.0,90.108,57.843,0.0
4,3,64.0,750.0,90.108,13.934,0.0
3,5,146.0,648.0,96.821,59.149,0.0
5,3,62.0,726.0,96.821,14.577,0.0
3,6,146.0,657.0,100.568,58.241,0.0
6,3,62.0,716.0,100.568,15.34,0.0
4,5,144.0,650.0,71.736,59.782,0.0
5,4,61.0,717.0,71.736,14.707,0.0
4,6,146.0,643.0,74.661,60.086,0.0
6,4,61.0,709.0,74.661,15.729,0.0
5,6,145.0,634.0,82.425,57.765,0.0
6,5,62.0,718.0,82.425,15.204,0.0
